customerID,gender,SeniorCitizen,tenure,PhoneService,InternetService,MonthlyCharges,TotalCharges,Churn
CUST00001,Male,0,8,Yes,DSL,76.07,601.91,Yes
CUST00002,Male,0,0,No,DSL,77.04,,No
CUST00003,Female,0,33,No,Fiber optic,30.0,748.36,No
CUST00004,Male,1,4,Yes,DSL,78.17,315.1,Yes
CUST00005,Female,0,24,Yes,Fiber optic,72.58,1821.97,Yes
CUST00006,Female,0,0,No,No,97.33,,Yes
CUST00007,Female,0,5,No,Fiber optic,63.23,339.41,No
CUST00008,Female,0,49,No,DSL,74.89,3531.13,No
CUST00009,Female,0,52,No,DSL,80.72,3830.33,No
CUST00010,Male,0,33,Yes,Fiber optic,87.04,2545.34,No
CUST00011,Male,0,0,Yes,DSL,84.12,,No
CUST00012,Female,0,1,Yes,No,85.08,88.72,No
CUST00013,Male,0,37,Yes,Fiber optic,30.12,1040.78,No
CUST00014,Male,0,72,Yes,No,22.13,1863.79,No
CUST00015,Female,0,45,Yes,No,51.78,2233.3,No
CUST00016,Female,0,19,No,Fiber optic,94.84,1736.25,Yes
CUST00017,Female,0,11,Yes,Fiber optic,71.56,865.91,Yes
CUST00018,Male,1,1,Yes,DSL,105.91,114.73,No
CUST00019,Male,1,22,Yes,Fiber optic,72.58,1744.94,Yes
CUST00020,Male,1,1,No,DSL,93.16,103.1,Yes
CUST00021,Male,0,48,Yes,Fiber optic,67.67,3377.44,No
CUST00022,Male,0,0,Yes,DSL,74.22,,No
CUST00023,Male,0,8,Yes,Fiber optic,89.58,772.5,Yes
CUST00024,Female,1,10,Yes,Fiber optic,77.72,712.49,Yes
CUST00025,Male,0,9,No,No,73.78,581.92,Yes
CUST00026,Female,0,66,No,No,88.15,6294.46,No
CUST00027,Male,0,12,No,Fiber optic,22.67,223.43,No
CUST00028,Female,0,3,Yes,DSL,106.55,306.16,Yes
CUST00029,Female,1,57,Yes,No,84.73,5071.08,No
CUST00030,Male,0,15,No,Fiber optic,81.12,1087.4,Yes
CUST00031,Female,1,16,Yes,DSL,29.05,448.42,Yes
CUST00032,Male,0,33,No,No,91.49,3312.33,No
CUST00033,Female,0,21,Yes,DSL,94.27,1822.48,No
CUST00034,Male,0,16,No,No,54.93,972.69,No
CUST00035,Female,1,7,Yes,DSL,65.46,404.97,No
CUST00036,Female,1,3,Yes,No,100.81,325.12,No
CUST00037,Female,0,66,No,DSL,51.61,3816.02,No
CUST00038,Female,0,69,No,No,95.25,6627.08,No
CUST00039,Male,1,62,Yes,DSL,78.16,4783.28,No
CUST00040,Male,0,68,No,DSL,92.85,6574.95,No
CUST00041,Female,0,0,Yes,DSL,90.29,,No
CUST00042,Female,0,18,Yes,Fiber optic,56.87,1099.97,No
CUST00043,Male,0,36,No,Fiber optic,90.38,2923.62,No
CUST00044,Male,0,19,No,DSL,39.24,900.39,No
CUST00045,Female,0,15,Yes,Fiber optic,70.63,934.52,No
CUST00046,Male,0,72,No,No,71.14,5773.35,No
CUST00047,Male,0,10,No,DSL,80.2,805.82,No
CUST00048,Female,0,2,Yes,DSL,89.87,183.62,Yes
CUST00049,Male,0,52,Yes,DSL,76.92,3880.41,No
CUST00050,Female,1,11,Yes,DSL,90.12,934.06,Yes
CUST00051,Male,0,40,No,DSL,83.28,3434.24,No
CUST00052,Male,0,46,Yes,Fiber optic,73.09,3441.3,No
CUST00053,Male,1,36,Yes,Fiber optic,38.43,1148.33,Yes
CUST00054,Male,0,0,Yes,No,74.15,,No
CUST00055,Female,1,10,Yes,Fiber optic,79.1,705.17,Yes
CUST00056,Female,0,10,Yes,DSL,94.21,896.46,Yes
CUST00057,Female,0,1,Yes,No,65.81,57.44,No
CUST00058,Male,0,38,Yes,No,52.2,2011.43,No
CUST00059,Female,0,19,No,DSL,29.34,428.36,No
CUST00060,Female,0,59,No,Fiber optic,44.5,2099.27,Yes
CUST00061,Female,0,61,No,Fiber optic,42.57,2228.66,No
CUST00062,Male,0,10,Yes,Fiber optic,93.42,859.15,No
CUST00063,Male,1,9,Yes,No,81.24,659.43,Yes
CUST00064,Female,0,3,No,No,84.94,226.65,Yes
CUST00065,Female,0,19,Yes,DSL,44.92,832.45,No
CUST00066,Male,1,13,Yes,DSL,33.1,415.42,No
CUST00067,Female,0,20,Yes,DSL,54.44,,No
CUST00068,Female,0,53,No,Fiber optic,43.3,2126.74,No
CUST00069,Female,0,9,Yes,Fiber optic,102.0,887.93,Yes
CUST00070,Female,0,55,Yes,No,78.6,4860.03,No
CUST00071,Male,0,8,No,Fiber optic,84.59,755.86,No
CUST00072,Female,0,11,Yes,No,80.04,918.12,Yes
CUST00073,Male,0,2,Yes,Fiber optic,107.43,223.43,Yes
CUST00074,Female,1,58,Yes,DSL,27.53,1361.51,No
CUST00075,Male,1,21,No,Fiber optic,39.39,881.21,No
CUST00076,Male,0,32,Yes,DSL,40.87,1102.19,No
CUST00077,Male,0,0,No,No,99.96,,Yes
CUST00078,Male,0,55,Yes,DSL,52.91,3273.22,No
CUST00079,Female,1,68,Yes,No,80.97,5374.06,Yes
CUST00080,Male,1,2,Yes,No,109.57,211.17,Yes
CUST00081,Female,0,6,No,Fiber optic,81.87,491.44,Yes
CUST00082,Female,1,7,No,No,62.46,503.62,No
CUST00083,Female,0,16,Yes,DSL,40.57,752.02,No
CUST00084,Male,0,68,Yes,DSL,37.79,2407.97,No
CUST00085,Male,0,59,No,Fiber optic,62.01,4234.36,No
CUST00086,Male,0,4,No,Fiber optic,93.29,392.19,No
CUST00087,Male,0,0,Yes,DSL,100.74,,No
CUST00088,Female,0,50,No,Fiber optic,35.34,1562.84,No
CUST00089,Female,1,14,No,No,26.75,,No
CUST00090,Female,0,26,Yes,DSL,86.54,2213.82,No
CUST00091,Male,1,0,No,DSL,74.8,,Yes
CUST00092,Male,0,47,Yes,DSL,59.36,3117.46,No
CUST00093,Male,1,24,Yes,Fiber optic,42.23,920.71,No
CUST00094,Female,0,54,No,No,83.6,4591.52,No
CUST00095,Male,0,48,No,DSL,35.02,1314.96,No
CUST00096,Female,0,47,Yes,DSL,96.09,4208.03,No
CUST00097,Female,0,12,No,DSL,75.8,993.16,No
CUST00098,Male,0,31,No,Fiber optic,46.9,1627.73,No
CUST00099,Male,1,29,Yes,Fiber optic,27.18,,No
CUST00100,Male,0,9,Yes,Fiber optic,63.59,622.75,No
CUST00101,Female,0,34,No,DSL,31.61,868.28,No
CUST00102,Female,0,27,Yes,Fiber optic,75.9,1982.71,No
CUST00103,Female,0,28,Yes,DSL,27.36,840.7,No
CUST00104,Male,0,0,No,DSL,103.08,,Yes
CUST00105,Male,0,55,Yes,No,48.12,2616.28,No
CUST00106,Female,0,27,No,Fiber optic,27.31,933.17,No
CUST00107,Male,0,35,No,DSL,51.98,1621.03,No
CUST00108,Male,1,54,No,DSL,89.85,5078.04,Yes
CUST00109,Female,0,70,No,DSL,62.42,4551.29,No
CUST00110,Female,0,8,No,DSL,84.34,672.57,Yes
CUST00111,Female,0,54,Yes,Fiber optic,70.1,,Yes
CUST00112,Female,0,30,No,Fiber optic,51.09,1302.12,Yes
CUST00113,Female,1,25,No,No,44.91,895.59,No
CUST00114,Male,0,54,No,No,38.3,2371.46,No
CUST00115,Male,0,19,Yes,DSL,42.88,824.41,No
CUST00116,Female,1,57,Yes,Fiber optic,89.3,4721.55,No
CUST00117,Male,1,63,Yes,DSL,35.73,1656.5,No
CUST00118,Male,0,32,Yes,Fiber optic,80.93,2812.3,No
CUST00119,Male,0,50,No,No,25.24,1200.76,No
CUST00120,Female,0,32,Yes,DSL,49.53,1593.36,No
